,Time,Duration,ClientTimeoutErrors,ResponseTime
1,06/21/11:10:03:20:508342049,239.984,458,13.8
2,06/21/11:10:07:20:620434729,239.984,0,4.1
3,06/21/11:10:11:20:734255313,239.984,18,4.5
4,06/21/11:10:15:21:841270193,240.98,11213,33.5
5,06/21/11:10:19:22:949073835,240.98,11993,707.4
6,06/21/11:10:23:24:058092192,240.98,12000,0
7,06/21/11:10:27:25:165498351,240.98,12000,0
8,06/21/11:10:31:26:272578399,240.98,12000,0
9,06/21/11:10:35:27:380809278,240.98,12000,0
10,06/21/11:10:39:28:488885950,240.98,12000,0
11,06/21/11:10:43:29:597785906,240.98,12000,0
12,06/21/11:10:47:30:706844322,240.98,12000,0
13,06/21/11:10:51:31:817087171,240.98,12000,0
14,06/21/11:10:55:32:927555694,240.98,12000,0
15,06/21/11:10:59:34:038155876,240.98,12000,0
16,06/21/11:11:03:35:149002871,240.98,12000,0
17,06/21/11:11:07:36:257431578,240.98,12000,0
18,06/21/11:11:11:37:368125094,240.98,12000,0
19,06/21/11:11:15:38:480161059,240.98,12000,0
20,06/21/11:11:19:39:591009304,240.98,12000,0
21,06/21/11:11:23:40:703983431,240.98,12000,0
22,06/21/11:11:27:41:815015448,240.98,12000,0
23,06/21/11:11:31:42:925477771,240.98,12000,0
24,06/21/11:11:35:44:037829886,240.98,12000,0
25,06/21/11:11:39:45:149189632,240.98,12000,0
26,06/21/11:11:43:46:257638126,240.98,12000,0
27,06/21/11:11:47:47:375623292,240.98,12000,0
28,06/21/11:11:51:48:491031977,240.98,12000,0
29,06/21/11:11:55:49:607136336,240.98,12000,0
30,06/21/11:11:59:50:719101339,240.98,12000,0
31,06/21/11:12:03:51:834780444,240.98,12000,0
32,06/21/11:12:07:52:946065568,240.981,12000,0
33,06/21/11:12:11:54:062598494,240.98,12000,0
34,06/21/11:12:15:55:177349542,240.98,12000,0
35,06/21/11:12:19:56:288166486,240.98,12000,0
36,06/21/11:12:23:57:400744603,240.98,12000,0
37,06/21/11:12:27:58:513719515,240.98,12000,0
38,06/21/11:12:31:59:621041673,240.98,12000,0
39,06/21/11:12:36:00:734046781,240.98,12000,0
40,06/21/11:12:40:01:848275145,240.98,12000,0
41,06/21/11:12:44:02:962825842,240.98,12000,0
42,06/21/11:12:48:04:083045004,240.98,12000,0
43,06/21/11:12:52:05:201769690,240.98,12000,0
44,06/21/11:12:56:06:320578158,240.98,12000,0
45,06/21/11:13:00:07:439113470,240.98,12000,0
46,06/21/11:13:04:08:549611622,240.98,12000,0
47,06/21/11:13:08:09:666460282,240.98,12000,0
48,06/21/11:13:12:10:778749241,240.98,12000,0
49,06/21/11:13:16:11:892208151,240.98,12000,0
50,06/21/11:13:20:13:003810708,240.98,12000,0
51,06/21/11:13:24:14:117966163,240.98,12000,0
52,06/21/11:13:28:15:237818909,240.98,12000,0
53,06/21/11:13:32:16:356872690,240.98,12000,0
54,06/21/11:13:36:17:469061918,240.98,12000,0
55,06/21/11:13:40:18:583158434,240.98,12000,0
56,06/21/11:13:44:19:698803663,240.98,12000,0
57,06/21/11:13:48:20:806932567,240.98,12000,0
58,06/21/11:13:52:21:917714963,240.98,12000,0
59,06/21/11:13:56:23:033423726,240.98,12000,0
60,06/21/11:14:00:24:145337001,240.98,12000,0
61,06/21/11:14:04:25:258028149,240.98,12000,0
62,06/21/11:14:08:26:369681578,240.98,12000,0
63,06/21/11:14:12:27:482202277,240.98,12000,0
64,06/21/11:14:16:28:593943401,240.98,12000,0
65,06/21/11:14:20:29:711271190,240.98,12000,0
66,06/21/11:14:24:30:820164978,240.98,12000,0
67,06/21/11:14:28:31:933852697,240.98,12000,0
68,06/21/11:14:32:33:050979426,240.98,12000,0
69,06/21/11:14:36:34:161792990,240.98,12000,0
70,06/21/11:14:40:35:276221371,240.98,12000,0
71,06/21/11:14:44:36:388145896,240.98,12000,0
72,06/21/11:14:48:37:499067635,240.98,12000,0
73,06/21/11:14:52:38:610986822,240.98,12000,0
74,06/21/11:14:56:39:717937751,240.98,12000,0
75,06/21/11:15:00:40:827159098,240.98,12000,0
76,06/21/11:15:04:41:939560770,240.98,12000,0
77,06/21/11:15:08:43:049754512,240.98,12000,0
78,06/21/11:15:12:44:156047237,240.98,12000,0
