,Time,Duration,ClientTimeoutErrors,ResponseTime
1,06/19/11:09:56:20:047101959,240.07,2535,24.8
2,06/19/11:10:00:21:153095341,240.98,5906,27.4
3,06/19/11:10:04:21:262980202,239.984,3362,42.1
4,06/19/11:10:08:21:372406406,239.984,17,4.4
5,06/19/11:10:12:21:482054523,239.984,113,4.8
6,06/19/11:10:16:21:598509134,239.984,0,4.1
7,06/19/11:10:20:21:708457595,239.984,0,4.3
8,06/19/11:10:24:21:818684547,239.984,0,4.4
9,06/19/11:10:28:21:927357389,239.984,2,4.8
10,06/19/11:10:32:22:037754883,239.984,0,4.1
11,06/19/11:10:36:22:147086443,239.984,0,4.2
12,06/19/11:10:40:22:258020352,239.986,0,5.4
13,06/19/11:10:44:22:368025086,239.984,1,4.9
14,06/19/11:10:48:22:476978012,239.984,1,4.9
15,06/19/11:10:52:22:585526371,239.984,0,4.2
16,06/19/11:10:56:22:697442322,239.987,0,4.6
17,06/19/11:11:00:22:809564749,239.986,0,4.3
18,06/19/11:11:04:22:918977246,239.984,249,9.1
19,06/19/11:11:08:23:031533483,239.984,0,4.2
20,06/19/11:11:12:23:140048860,239.984,0,4.2
21,06/19/11:11:16:23:253279505,239.986,0,4.3
22,06/19/11:11:20:23:362437508,239.984,0,4.3
23,06/19/11:11:24:23:472553938,239.984,0,4.3
24,06/19/11:11:28:23:581018822,239.984,0,4.2
25,06/19/11:11:32:23:689843975,239.984,0,4.2
26,06/19/11:11:36:23:799180252,239.984,0,4.3
27,06/19/11:11:40:23:907723984,239.984,0,4.3
28,06/19/11:11:44:24:018171246,239.986,0,4.3
29,06/19/11:11:48:24:127379801,239.984,15,5.9
30,06/19/11:11:52:24:236439305,239.984,0,5.1
31,06/19/11:11:56:24:346071900,239.984,0,5
32,06/19/11:12:00:24:454320142,239.984,0,4.5
33,06/19/11:12:04:24:563701876,239.984,1,5
34,06/19/11:12:08:24:671861342,239.984,4,5.8
35,06/19/11:12:12:24:780618745,239.984,3,5.3
36,06/19/11:12:16:24:889838120,239.984,0,4.6
37,06/19/11:12:20:24:999852749,239.984,1,4.7
38,06/19/11:12:24:26:108697974,240.98,7598,8.8
39,06/19/11:12:28:27:214234234,240.98,11956,54.2
40,06/19/11:12:32:28:319656935,240.98,12000,0
41,06/19/11:12:36:29:424443558,240.98,11809,154.6
42,06/19/11:12:40:30:528874551,240.98,11894,569.8
43,06/19/11:12:44:31:635820981,240.98,11934,286.1
44,06/19/11:12:48:32:741854732,240.98,12000,0
45,06/19/11:12:52:33:847603266,240.98,12000,0
46,06/19/11:12:56:34:952649937,240.98,12000,0
47,06/19/11:13:00:36:058356516,240.98,12000,0
48,06/19/11:13:04:37:163781848,240.98,12000,0
49,06/19/11:13:08:38:269256642,240.98,12000,0
50,06/19/11:13:12:39:374270499,240.98,12000,0
51,06/19/11:13:16:40:479511235,240.98,12000,0
52,06/19/11:13:20:41:585620421,240.98,12000,0
53,06/19/11:13:24:42:690776736,240.98,12000,0
54,06/19/11:13:28:43:796725115,240.98,12000,0
55,06/19/11:13:32:44:907182337,240.98,12000,0
56,06/19/11:13:36:46:013092092,240.98,12000,0
57,06/19/11:13:40:47:118989980,240.98,12000,0
58,06/19/11:13:44:48:225440186,240.98,12000,0
59,06/19/11:13:48:49:331223746,240.98,12000,0
60,06/19/11:13:52:50:437347336,240.98,12000,0
61,06/19/11:13:56:51:543581170,240.98,12000,0
62,06/19/11:14:00:52:648556705,240.98,12000,0
63,06/19/11:14:04:53:755318163,240.98,12000,0
64,06/19/11:14:08:54:867455965,240.98,12000,0
65,06/19/11:14:12:55:974443848,240.98,12000,0
66,06/19/11:14:16:57:086775300,240.98,12000,0
67,06/19/11:14:20:58:197889956,240.98,12000,0
68,06/19/11:14:24:59:304127174,240.98,12000,0
69,06/19/11:14:29:00:412377500,240.98,12000,0
70,06/19/11:14:33:01:524979887,240.98,12000,0
71,06/19/11:14:37:02:635624467,240.98,12000,0
72,06/19/11:14:41:03:741431370,240.98,12000,0
73,06/19/11:14:45:04:852046328,240.98,12000,0
74,06/19/11:14:49:05:958407942,240.98,12000,0
75,06/19/11:14:53:07:064836869,240.98,12000,0
76,06/19/11:14:57:08:177364036,240.98,12000,0
77,06/19/11:15:01:09:289751686,240.98,12000,0
78,06/19/11:15:05:10:407836735,240.981,12000,0
79,06/19/11:15:09:11:513891176,240.98,12000,0
80,06/19/11:15:13:12:628856590,240.98,12000,0
81,06/19/11:15:17:13:746881777,240.98,12000,0
82,06/19/11:15:21:14:865011916,240.98,12000,0
83,06/19/11:15:25:15:976041073,240.98,12000,0
84,06/19/11:15:29:17:083975059,240.98,12000,0
85,06/19/11:15:33:18:191359846,240.98,12000,0
86,06/19/11:15:37:19:302515747,240.98,12000,0
87,06/19/11:15:41:20:409009619,240.98,12000,0
88,06/19/11:15:45:21:518736875,240.98,12000,0
89,06/19/11:15:49:22:630231594,240.98,12000,0
90,06/19/11:15:53:23:740755729,240.98,12000,0
91,06/19/11:15:57:24:848747385,240.98,12000,0
92,06/19/11:16:01:25:964872744,240.98,12000,0
93,06/19/11:16:05:27:083322248,240.98,12000,0
94,06/19/11:16:09:28:199700232,240.98,12000,0
95,06/19/11:16:13:29:306437592,240.98,12000,0
96,06/19/11:16:17:30:423136525,240.98,12000,0
97,06/19/11:16:21:31:541103463,240.98,12000,0
98,06/19/11:16:25:32:657724905,240.98,12000,0
99,06/19/11:16:29:33:763942138,240.98,12000,0
100,06/19/11:16:33:34:869879113,240.98,12000,0
101,06/19/11:16:37:35:986609444,240.98,12000,0
102,06/19/11:16:41:37:102812074,240.98,12000,0
103,06/19/11:16:45:38:217650674,240.98,12000,0
104,06/19/11:16:49:39:324398643,240.98,12000,0
105,06/19/11:16:53:40:435179793,240.98,12000,0
106,06/19/11:16:57:41:545577773,240.98,12000,0
107,06/19/11:17:01:42:661609472,240.98,12000,0
108,06/19/11:17:05:43:772446680,240.98,12000,0
109,06/19/11:17:09:44:888911956,240.98,12000,0
110,06/19/11:17:13:46:002930792,240.98,12000,0
111,06/19/11:17:17:47:113910279,240.98,12000,0
112,06/19/11:17:21:48:219797362,240.98,12000,0
113,06/19/11:17:25:49:326379306,240.98,12000,0
114,06/19/11:17:29:50:442520559,240.98,12000,0
115,06/19/11:17:33:51:559010297,240.98,12000,0
116,06/19/11:17:37:52:674827202,240.98,12000,0
117,06/19/11:17:41:53:790472841,240.98,12000,0
118,06/19/11:17:45:54:906595255,240.98,12000,0
119,06/19/11:17:49:56:016075500,240.98,12000,0
120,06/19/11:17:53:57:130009950,240.98,12000,0
121,06/19/11:17:57:58:240471461,240.98,12000,0
122,06/19/11:18:01:59:349300623,240.98,12000,0
123,06/19/11:18:06:00:460048304,240.98,12000,0
124,06/19/11:18:10:01:571755758,240.98,12000,0
125,06/19/11:18:14:02:682579762,240.98,12000,0
